,Event,mass1,mass2,mchirp,spin1x,spin1y,spin1z,spin2x,spin2y,spin2z,mass1_recover,mass2_recover,mchirp_recover,spin1x_recover,spin1y_recover,spin1z_recover,spin2x_recover,spin2y_recover,spin2z_recover,SNR,P_NS,P_EMB,M_rem,label
28,69718_1000697180,1.3508236,1.2542698,1.1329979,0.0,0.0,0.0,0.0,0.0,0.0,1.4429511,1.1762455,1.132964,0.0,0.0,0.0,0.0,0.0,0.0,10.00656312444773,1.0,1.0,0.049537851939195,1
29,64029_1000640289,1.2367167,1.4178998,1.1522564,0.0,0.0,0.0,0.0,0.0,0.0,1.397555,1.2542754,1.1522533,0.0,0.0,0.0,0.0,0.0,0.0,24.87802524982326,1.0,1.0,0.05419956302277937,1
30,63432_1000634320,1.5719591,1.3322504,1.2589563,0.0,0.0,0.0,0.0,0.0,0.0,2.1484282,1.0006111,1.2583344,0.0,0.0,0.0,0.0,0.0,0.0,12.10121969099877,1.0,1.0,0.02625670099079033,1
31,60280_1000602800,1.4504116,1.4072509,1.2436996,0.0,0.0,0.0,0.0,0.0,0.0,2.053686,1.0173646,1.243223,0.0,0.0,0.0,0.0,0.0,0.0,9.695164494381592,1.0,1.0,0.01059912506459923,0
32,62921_1000629209,1.3386123,1.3559778,1.1728592,0.0,0.0,0.0,0.0,0.0,0.0,1.4410824,1.2606891,1.1728659,0.0,0.0,0.0,0.0,0.0,0.0,9.78368333824375,1.0,1.0,0.025979317783348815,1
33,60268_1000602680,1.3425882,1.4074537,1.1966256,0.0,0.0,0.0,0.0,0.0,0.0,1.9388951,0.99528676,1.1962008,0.0,0.0,0.0,0.0,0.0,0.0,14.64064303522728,1.0,1.0,0.02487005692809621,0
34,61434_1000614339,1.3668815,1.4276865,1.2160608,0.0,0.0,0.0,0.0,0.0,0.0,1.6331589,1.2003684,1.2160189,0.0,0.0,0.0,0.0,0.0,0.0,10.74924573289045,1.0,1.0,0.019022938587511935,0
35,61305_1000613049,1.3877187,1.3068923,1.1722642,0.0,0.0,0.0,0.0,0.0,0.0,1.4087366,1.2878354,1.1723349,0.0,0.0,0.0,0.0,0.0,0.0,9.053322701990952,1.0,1.0,0.03426118526134539,1
36,60389_1000603889,1.2508707,1.5401098,1.2069995,0.0,0.0,0.0,0.0,0.0,0.0,1.7524296,1.1081803,1.2068655,0.0,0.0,0.0,0.0,0.0,0.0,11.34922906284749,1.0,1.0,0.04842800692677808,1
37,61858_1000618579,1.4253837,1.269109,1.1704774,0.0,0.0,0.0,0.0,0.0,0.0,1.4868191,1.2182732,1.1704835,0.0,0.0,0.0,0.0,0.0,0.0,8.797211068296198,1.0,1.0,0.044608099938955426,1
38,66591_1000665910,1.3084127,1.3771274,1.16849,0.0,0.0,0.0,0.0,0.0,0.0,1.8308218,1.001668,1.1683911,0.0,0.0,0.0,0.0,0.0,0.0,9.380585766376523,1.0,1.0,0.033892189810894945,1
39,64228_1000642280,1.4660718,1.4053375,1.249518,0.0,0.0,0.0,0.0,0.0,0.0,1.5864619,1.3009621,1.2494373,0.0,0.0,0.0,0.0,0.0,0.0,17.32972972196661,1.0,1.0,0.010926106635818958,0
40,69519_1000695189,1.3874816,1.5160573,1.2623512,0.0,0.0,0.0,0.0,0.0,0.0,1.6582047,1.2723687,1.2622929,0.0,0.0,0.0,0.0,0.0,0.0,55.78419758588944,1.0,1.0,0.014238636437560296,0
41,62046_1000620459,1.5014622,1.3966275,1.2604762,0.0,0.0,0.0,0.0,0.0,0.0,1.9910085,1.0726734,1.2603049,0.0,0.0,0.0,0.0,0.0,0.0,9.727679040231926,1.0,1.0,0.012482330128989982,0
42,66812_1000668119,1.5369499,1.2677796,1.2140704,0.0,0.0,0.0,0.0,0.0,0.0,1.4187444,1.3710207,1.2141026,0.0,0.0,0.0,0.0,0.0,0.0,12.04664572912539,1.0,1.0,0.04368611800072396,1
43,60160_1000601600,1.4206057,1.3390487,1.2005796,0.0,0.0,0.0,0.0,0.0,0.0,1.7390455,1.1047795,1.2005254,0.0,0.0,0.0,0.0,0.0,0.0,10.32040723550031,1.0,1.0,0.02570313505699189,1
44,67303_1000673030,1.3202765,1.2761003,1.1299423,0.0,0.0,0.0,0.0,0.0,0.0,1.6986111,1.0050801,1.1297579,0.0,0.0,0.0,0.0,0.0,0.0,10.28629692328656,1.0,1.0,0.04322307414607135,1
