,Event,mass1,mass2,mchirp,spin1x,spin1y,spin1z,spin2x,spin2y,spin2z,mass1_recover,mass2_recover,mchirp_recover,spin1x_recover,spin1y_recover,spin1z_recover,spin2x_recover,spin2y_recover,spin2z_recover,SNR,P_NS,P_EMB,M_rem,label
108,69682_1000696820,1.3532337,1.4688969,1.2271652,0.0,0.0,0.0,0.0,0.0,0.0,1.491175,1.3333611,1.2271465,0.0,0.0,0.0,0.0,0.0,0.0,18.06263938410205,1.0,1.0,0.022024227531200258,0
109,65025_1000650250,1.419355,1.5647467,1.2970548,0.0,0.0,0.0,0.0,0.0,0.0,2.1248252,1.0687369,1.2967652,0.0,0.0,0.0,0.0,0.0,0.0,11.31355201394208,1.0,1.0,0.008131055027479637,0
110,65788_1000657879,1.4529653,1.3373365,1.2132976,0.0,0.0,0.0,0.0,0.0,0.0,1.8855006,1.0475131,1.2130784,0.0,0.0,0.0,0.0,0.0,0.0,14.67020679610883,1.0,1.0,0.02597199605976437,1
111,65628_1000656280,1.3192781,1.4343709,1.1973386,0.0,0.0,0.0,0.0,0.0,0.0,1.9213284,1.0042615,1.1968132,0.0,0.0,0.0,0.0,0.0,0.0,9.941358557570213,1.0,1.0,0.030700055448856574,1
112,68251_1000682510,1.4125669,1.3103436,1.184213,0.0,0.0,0.0,0.0,0.0,0.0,1.3790762,1.3418813,1.1842327,0.0,0.0,0.0,0.0,0.0,0.0,11.27886237430901,1.0,1.0,0.03319988510454444,1
113,62835_1000628350,1.3041574,1.4567692,1.1995587,0.0,0.0,0.0,0.0,0.0,0.0,1.5471588,1.23038,1.1995338,0.0,0.0,0.0,0.0,0.0,0.0,27.88397215987067,1.0,1.0,0.03456121751463038,1
114,60309_1000603090,1.5101357,1.4177754,1.2736862,0.0,0.0,0.0,0.0,0.0,0.0,2.2251334,0.99169093,1.2727818,0.0,0.0,0.0,0.0,0.0,0.0,11.64758855573091,1.0,1.0,0.008592063303643073,0
115,61370_1000613699,1.4840062,1.461973,1.2822689,0.0,0.0,0.0,0.0,0.0,0.0,2.0906575,1.0609484,1.281976,0.0,0.0,0.0,0.0,0.0,0.0,9.705501173089935,1.0,1.0,0.0024607323483197227,0
116,62765_1000627650,1.4084582,1.2223326,1.1416757,0.0,0.0,0.0,0.0,0.0,0.0,1.4113332,1.21986,1.1416506,0.0,0.0,0.0,0.0,0.0,0.0,13.40507409757234,1.0,1.0,0.05864167524294227,1
117,69483_1000694829,1.3158545,1.3900943,1.1773006,0.0,0.0,0.0,0.0,0.0,0.0,1.4817817,1.2362759,1.1773025,0.0,0.0,0.0,0.0,0.0,0.0,10.07925922737033,1.0,1.0,0.03183213337548167,1
118,61668_1000616680,1.2844837,1.4443655,1.1853524,0.0,0.0,0.0,0.0,0.0,0.0,1.4067577,1.3182076,1.1853584,0.0,0.0,0.0,0.0,0.0,0.0,17.49887462611435,1.0,1.0,0.040071534523376584,1
