X1+X2,P_NS(APR4_EPP),P_NS(BHF_BBB2),P_NS(H4),P_NS(HQC18),P_NS(KDE0V),P_NS(KDE0V1),P_NS(MPA1),P_NS(MS1_PP),P_NS(MS1B_PP),P_NS(RS),P_NS(SK255),P_NS(SK272),P_NS(SKI2),P_NS(SKI3),P_NS(SKI4),P_NS(SKI5),P_NS(SKI6),P_NS(SKMP),P_NS(SKOP),P_NS(SLy),P_NS(SLY2),P_NS(SLY9),P_NS(SLY230A)
0.480000,0.405423,0.395618,0.399415,0.402373,0.389648,0.385342,0.429023,0.451684,0.454165,0.422486,0.403794,0.422645,0.415225,0.421690,0.417674,0.421690,0.397730,0.409206,0.388574,0.398929,0.398929,0.388146,0.398797
0.500000,0.427119,0.416571,0.420177,0.421992,0.409152,0.404803,0.448802,0.471606,0.474097,0.443568,0.424180,0.442651,0.435113,0.441454,0.437546,0.441454,0.417529,0.428880,0.408067,0.419582,0.419582,0.408434,0.418310
0.520000,0.449155,0.437861,0.441249,0.441859,0.428944,0.424567,0.468744,0.491618,0.494111,0.464885,0.444838,0.462846,0.455208,0.461405,0.457621,0.461405,0.437600,0.448781,0.427853,0.440541,0.440541,0.429051,0.438083
0.540000,0.471517,0.459477,0.462623,0.461978,0.449029,0.444637,0.488850,0.511722,0.514208,0.486425,0.465764,0.483230,0.475512,0.481544,0.477900,0.481544,0.457942,0.468911,0.447935,0.461799,0.461799,0.449993,0.458117
0.560000,0.494189,0.481412,0.484291,0.482350,0.469410,0.465018,0.509122,0.531917,0.534389,0.508178,0.486955,0.503802,0.496023,0.501873,0.498383,0.501873,0.478558,0.489272,0.468315,0.483348,0.483348,0.471258,0.478418
0.580000,0.517153,0.503652,0.506243,0.502977,0.490090,0.485711,0.529562,0.552204,0.554653,0.530132,0.508403,0.524561,0.516742,0.522393,0.519070,0.522393,0.499446,0.509865,0.488999,0.505181,0.505181,0.492839,0.498988
0.600000,0.540387,0.526186,0.528469,0.523864,0.511073,0.506723,0.550170,0.572583,0.575001,0.552272,0.530104,0.545505,0.537669,0.543105,0.539960,0.543105,0.520608,0.530694,0.509989,0.527288,0.527288,0.514732,0.519832
0.620000,0.563869,0.548998,0.550957,0.545011,0.532361,0.528056,0.570949,0.593055,0.595433,0.574585,0.552050,0.566634,0.558804,0.564011,0.561055,0.564011,0.542043,0.551760,0.531289,0.549658,0.549658,0.536930,0.540952
0.640000,0.587572,0.572073,0.573694,0.566422,0.553960,0.549715,0.591899,0.613619,0.615950,0.597054,0.574233,0.587944,0.580147,0.585112,0.582354,0.585112,0.563752,0.573065,0.552902,0.572280,0.572280,0.559426,0.562352
0.660000,0.611468,0.595394,0.596665,0.588100,0.575871,0.571703,0.613022,0.634276,0.636552,0.619661,0.596646,0.609436,0.601698,0.606410,0.603857,0.606410,0.585734,0.594611,0.574833,0.595142,0.595142,0.582213,0.584037
