event_ID,P_NS,P_REM
278,0.0123,0.0
279,0.0123,0.0
280,0.0431,0.0
281,0.5885,0.0
282,0.564,0.0
283,0.3384,0.0
284,0.5496,0.0
285,0.0315,0.0
286,0.5813,0.0
287,0.2668,0.0
288,0.2762,0.0
289,0.6451,0.0
290,0.4262,0.0
291,0.1727,0.0
292,0.9885,0.9847
293,0.9885,0.9847
294,0.9885,0.9847
295,0.9885,0.9847
296,0.9885,0.9847
297,0.9885,0.9847
298,0.9885,0.9847
299,0.0431,0.0
300,0.9885,0.9847
301,0.9885,0.9847
302,0.9885,0.9847
303,0.9885,0.9847
304,0.9885,0.9847
305,0.9885,0.9847
306,0.9885,0.9847
307,0.9885,0.9847
308,0.9885,0.9847
309,0.9885,0.9847
310,0.9885,0.9847
311,0.9885,0.9847
312,0.9885,0.9847
313,0.9885,0.9847
314,0.9855,0.3115
315,0.9885,0.9847
316,0.9885,0.9847
317,0.9885,0.9847
318,0.9885,0.9847
319,0.9885,0.9847
320,0.9885,0.9847
321,0.9885,0.9847
322,0.9885,0.9847
323,0.9885,0.9847
324,0.9885,0.9847
325,0.9885,0.9847
326,0.9885,0.9847
327,0.9885,0.9847
328,0.9876,0.1784
329,0.9874,0.128
330,0.9866,0.2445
331,0.0124,0.0
332,0.0124,0.0
333,0.0123,0.0
334,0.0364,0.0
335,0.0782,0.0
336,0.464,0.0
337,0.0123,0.0
338,0.0537,0.0
339,0.9885,0.9847
340,0.9885,0.9847
341,0.9885,0.9847
342,0.9885,0.9847
343,0.9885,0.9847
344,0.9885,0.9847
345,0.032,0.0
346,0.1841,0.0
347,0.2489,0.0
348,0.0321,0.0
349,0.032,0.0
350,0.9885,0.9847
351,0.9885,0.9847
352,0.9885,0.9847
353,0.9885,0.9847
354,0.9885,0.9847
355,0.987,0.8198
356,0.9885,0.9847
357,0.9885,0.9847
358,0.9885,0.9847
359,0.9885,0.9847
360,0.0123,0.0
361,0.0123,0.0
362,0.0124,0.0
363,0.0123,0.0
364,0.0432,0.0
365,0.0123,0.0
366,0.9885,0.9847
367,0.9885,0.9847
368,0.9885,0.9847
369,0.9885,0.9847
370,0.9885,0.9847
371,0.0123,0.0
372,0.077,0.0
373,0.0364,0.0
374,0.9872,0.0703
375,0.9885,0.9847
376,0.9885,0.9847
377,0.9885,0.9847
378,0.9885,0.9847
379,0.9885,0.9847
380,0.9885,0.9847
381,0.9885,0.9847
382,0.9885,0.9847
383,0.7781,0.0
384,0.5359,0.0
385,0.9883,0.0031
386,0.9853,0.04
387,0.9872,0.0306
388,0.9881,0.0038
389,0.988,0.0084
390,0.9874,0.0194
391,0.9885,0.9847
392,0.986,0.6107
393,0.9885,0.9847
394,0.9885,0.9847
395,0.9885,0.9847
396,0.9885,0.9847
397,0.9885,0.9847
398,0.9885,0.9847
399,0.9861,0.7595
400,0.9885,0.9847
401,0.9885,0.9847
402,0.9883,0.9402
403,0.9885,0.9847
404,0.9885,0.9847
405,0.9885,0.9847
406,0.9885,0.9847
407,0.9885,0.9847
408,0.9885,0.9847
409,0.9885,0.9847
410,0.9885,0.9847
411,0.9885,0.9847
412,0.9885,0.9847
413,0.0123,0.0
414,0.0123,0.0
415,0.0123,0.0
416,0.0123,0.0
417,0.0123,0.0
418,0.0123,0.0
419,0.0123,0.0
420,0.0698,0.0
421,0.0123,0.0
422,0.0432,0.0
423,0.014,0.0
424,0.0135,0.0
425,0.9885,0.0
426,0.9507,0.0
427,0.0123,0.0
428,0.0123,0.0
429,0.8965,0.0
430,0.812,0.0
431,0.6428,0.0
432,0.6985,0.0
433,0.9484,0.0
434,0.014,0.0
435,0.0123,0.0
436,0.4066,0.0
437,0.0123,0.0
438,0.0123,0.0
439,0.0123,0.0
440,0.032,0.0
441,0.0143,0.0
442,0.0123,0.0
443,0.0123,0.0
444,0.0123,0.0
445,0.0123,0.0
446,0.9885,0.0
447,0.0123,0.0
448,0.0123,0.0
449,0.0123,0.0
450,0.9885,0.9847
451,0.9877,0.9482
452,0.9885,0.9847
453,0.9885,0.9847
454,0.9883,0.8726
455,0.9885,0.9847
456,0.9885,0.9847
457,0.9885,0.9847
458,0.9885,0.0
459,0.2434,0.0
460,0.9885,0.9847
461,0.9885,0.0
462,0.9885,0.0
463,0.9885,0.0
464,0.9173,0.0
465,0.975,0.0
466,0.0431,0.0
467,0.0123,0.0
468,0.0537,0.0
469,0.9885,0.9847
470,0.9885,0.9847
471,0.9885,0.9847
472,0.9885,0.9847
473,0.0432,0.0
474,0.9864,0.3907
475,0.9885,0.0
476,0.9885,0.0
477,0.9885,0.9847
478,0.9883,0.9402
479,0.9885,0.9847
480,0.9885,0.9847
481,0.9885,0.9847
482,0.9885,0.9847
483,0.9885,0.9847
484,0.9885,0.9847
485,0.9885,0.0
486,0.9885,0.0
487,0.9447,0.0003
488,0.988,0.0035
489,0.988,0.0187
490,0.9885,0.9847
491,0.9885,0.9847
492,0.9885,0.9847
493,0.9647,0.0
494,0.9885,0.0001
495,0.9885,0.0
496,0.9884,0.0001
497,0.9871,0.0424
498,0.9869,0.0201
499,0.9855,0.0331
500,0.9874,0.0345
501,0.9884,0.0004
502,0.9885,0.9847
503,0.9883,0.9677
504,0.9885,0.9847
505,0.9885,0.9847
506,0.9885,0.9847
507,0.9885,0.9847
508,0.7318,0.0
509,0.5743,0.0
510,0.1187,0.0
511,0.1669,0.0
512,0.4421,0.0
513,0.3644,0.0
514,0.9885,0.9847
515,0.9885,0.9847
516,0.13,0.0
517,0.0137,0.0
518,0.0123,0.0
519,0.9885,0.9847
520,0.9877,0.9133
521,0.9885,0.9847
522,0.9885,0.9847
523,0.9885,0.9847
524,0.9885,0.9847
525,0.9885,0.9847
526,0.9885,0.9847
527,0.9885,0.9847
528,0.9885,0.9847
529,0.9885,0.9847
530,0.0123,0.0
531,0.0123,0.0
532,0.0123,0.0
533,0.0123,0.0
534,0.0123,0.0
535,0.9885,0.9847
536,0.9885,0.9847
537,0.9885,0.9847
538,0.9885,0.9847
539,0.0123,0.0
540,0.0123,0.0
541,0.0123,0.0
542,0.0344,0.0
543,0.9885,0.0
544,0.86,0.0
545,0.0123,0.0
546,0.9885,0.9847
547,0.9885,0.9847
548,0.9885,0.9847
549,0.9885,0.9847
550,0.9885,0.9847
551,0.0123,0.0
552,0.0123,0.0
553,0.9885,0.9847
554,0.9885,0.9847
555,0.0123,0.0
556,0.3336,0.0
557,0.1328,0.0
558,0.0123,0.0
559,0.0314,0.0
560,0.0181,0.0
561,0.0123,0.0
562,0.0183,0.0
563,0.0123,0.0
564,0.0123,0.0
565,0.0123,0.0
566,0.0123,0.0
567,0.02,0.0
568,0.6732,0.0001
569,0.6369,0.0
570,0.9885,0.9847
571,0.9885,0.9847
572,0.9885,0.9847
573,0.9885,0.9847
574,0.9885,0.9847
575,0.9885,0.9847
576,0.0364,0.0
577,0.9853,0.0521
578,0.9344,0.0133
579,0.9883,0.9496
580,0.9868,0.9296
581,0.9885,0.0
582,0.9885,0.0
583,0.9266,0.0
584,0.8965,0.0
585,0.9885,0.9847
586,0.9885,0.9847
587,0.9508,0.0
588,0.7635,0.0
589,0.9266,0.0
590,0.9885,0.0
591,0.9885,0.9847
592,0.9885,0.9847
593,0.9885,0.9847
594,0.9885,0.9847
595,0.9885,0.9847
596,0.9885,0.0
597,0.9885,0.0
598,0.668,0.0
599,0.3068,0.0004
600,0.4492,0.0002
601,0.0123,0.0
602,0.0431,0.0
603,0.0123,0.0
604,0.0123,0.0
605,0.0123,0.0
606,0.2796,0.0
607,0.0669,0.0
608,0.5721,0.0
609,0.5634,0.0
610,0.0168,0.0
611,0.0123,0.0
612,0.014,0.0
613,0.0124,0.0
614,0.0123,0.0
615,0.9868,0.8592
616,0.9885,0.9847
617,0.9885,0.9847
618,0.9621,0.0
619,0.9885,0.0
620,0.9884,0.0
621,0.9885,0.0
622,0.51,0.0
623,0.7741,0.0
624,0.9885,0.9847
625,0.9885,0.9847
626,0.9885,0.9847
627,0.9885,0.9847
628,0.9885,0.9847
629,0.9885,0.9847
630,0.9885,0.9847
631,0.9885,0.9847
632,0.9885,0.9847
633,0.9885,0.9847
634,0.9885,0.9847
635,0.9885,0.9847
636,0.9885,0.9847
637,0.9885,0.0
638,0.9885,0.0
639,0.9885,0.9847
640,0.9885,0.9847
641,0.9885,0.9847
642,0.0583,0.0
643,0.9877,0.9482
644,0.9885,0.9847
645,0.9885,0.9847
646,0.0137,0.0
647,0.3259,0.0
648,0.4185,0.0
649,0.4931,0.0
650,0.7811,0.0
651,0.0557,0.0
652,0.0123,0.0
653,0.9885,0.9847
654,0.9885,0.9847
655,0.9885,0.9847
656,0.9885,0.9847
657,0.9885,0.9847
658,0.9885,0.9847
659,0.9885,0.9847
660,0.9885,0.9847
661,0.0184,0.0
662,0.4677,0.0
663,0.0123,0.0
664,0.3173,0.0
665,0.9885,0.0
666,0.2721,0.0
667,0.5086,0.0
668,0.9885,0.9847
669,0.9864,0.5472
670,0.9885,0.9847
671,0.9885,0.9847
672,0.9885,0.9847
673,0.9885,0.9847
674,0.9884,0.9832
675,0.9885,0.9847
676,0.0123,0.0
677,0.9885,0.9847
678,0.9508,0.0
679,0.5038,0.0
680,0.4665,0.0
681,0.1383,0.0
682,0.9885,0.9847
683,0.9867,0.8675
684,0.9885,0.9847
685,0.9885,0.9847
686,0.9885,0.9847
687,0.9885,0.9847
688,0.9885,0.9847
689,0.0123,0.0
690,0.2561,0.0
691,0.3269,0.0
692,0.9264,0.0007
693,0.0267,0.0
694,0.0135,0.0
695,0.0123,0.0
696,0.0123,0.0
697,0.0123,0.0
698,0.0123,0.0
699,0.0123,0.0
700,0.0163,0.0
701,0.0123,0.0
702,0.0123,0.0
703,0.9883,0.9827
704,0.9885,0.9847
705,0.9885,0.9847
706,0.9874,0.0013
707,0.9885,0.9847
708,0.9885,0.9847
709,0.9885,0.9847
710,0.9885,0.9847
711,0.9885,0.9847
712,0.9855,0.0884
713,0.9853,0.0554
714,0.0123,0.0
715,0.0123,0.0
716,0.0123,0.0
717,0.0123,0.0
718,0.9885,0.9847
719,0.9885,0.9847
720,0.9885,0.9847
721,0.9885,0.9847
722,0.9885,0.9847
723,0.9857,0.137
724,0.9853,0.0491
725,0.986,0.0317
726,0.988,0.0143
727,0.988,0.004
728,0.9871,0.0124
729,0.9857,0.1918
730,0.9864,0.812
731,0.9857,0.1694
732,0.9858,0.1548
733,0.986,0.1568
734,0.0358,0.0
735,0.0123,0.0
736,0.1243,0.0
737,0.9885,0.0
738,0.9508,0.0
739,0.9885,0.0
740,0.9885,0.9847
741,0.9868,0.8402
742,0.9885,0.9847
743,0.9885,0.9847
744,0.9885,0.9847
745,0.0361,0.0
746,0.0124,0.0
747,0.0131,0.0
748,0.032,0.0
749,0.9885,0.9847
750,0.9859,0.7495
751,0.9885,0.9847
752,0.9885,0.9847
753,0.9885,0.9847
754,0.0123,0.0
755,0.0123,0.0
756,0.0123,0.0
757,0.0125,0.0
758,0.0123,0.0
759,0.0124,0.0
760,0.9885,0.0
761,0.9265,0.0
762,0.9484,0.0
763,0.0583,0.0
764,0.0123,0.0
765,0.0123,0.0
766,0.361,0.0146
767,0.9882,0.0004
768,0.8586,0.0
769,0.032,0.0
770,0.0138,0.0
771,0.5648,0.0
772,0.7726,0.0
773,0.9869,0.1255
774,0.9858,0.6202
775,0.9858,0.1967
776,0.9864,0.3305
777,0.9865,0.2959
778,0.9865,0.1084
779,0.0123,0.0
780,0.9885,0.9847
781,0.9885,0.9847
782,0.9885,0.9847
783,0.9885,0.9847
784,0.9885,0.9847
785,0.9885,0.9847
786,0.9885,0.9847
787,0.9864,0.6752
788,0.9857,0.5171
789,0.9856,0.5674
790,0.9867,0.7966
791,0.9885,0.9847
792,0.9864,0.8433
793,0.9885,0.9847
794,0.9885,0.9847
795,0.9885,0.9847
796,0.9885,0.9847
797,0.9885,0.9847
798,0.9885,0.9847
799,0.0344,0.0
800,0.0431,0.0
801,0.0123,0.0
802,0.9885,0.9847
803,0.9885,0.9847
804,0.9885,0.9847
805,0.9885,0.9847
806,0.9885,0.9847
807,0.9885,0.9847
808,0.9885,0.9847
809,0.9885,0.9847
810,0.9885,0.9847
811,0.9885,0.0
812,0.9885,0.0
813,0.9885,0.0
814,0.9885,0.0
815,0.9885,0.0
816,0.9885,0.0
817,0.9885,0.9847
818,0.0123,0.0
819,0.0123,0.0
820,0.0123,0.0
821,0.0135,0.0
822,0.0123,0.0
823,0.032,0.0
824,0.9621,0.0
825,0.9885,0.0
826,0.0135,0.0
827,0.9885,0.9847
828,0.9885,0.9847
829,0.9885,0.9847
830,0.9885,0.9847
831,0.014,0.0
832,0.0124,0.0
833,0.0671,0.0
834,0.9885,0.0
835,0.9885,0.0
836,0.9126,0.0
837,0.9885,0.0
838,0.9885,0.0
839,0.0612,0.0
840,0.0124,0.0
841,0.0522,0.0
842,0.9856,0.1621
843,0.9885,0.9847
844,0.9885,0.9847
845,0.9885,0.9847
846,0.9885,0.9847
847,0.9885,0.9847
848,0.9885,0.9847
849,0.9885,0.9847
850,0.9885,0.9847
851,0.9877,0.0012
852,0.9616,0.0003
853,0.986,0.0031
854,0.9881,0.0019
855,0.9879,0.0008
856,0.9885,0.9847
857,0.9885,0.9847
858,0.9885,0.9847
859,0.9885,0.9847
860,0.9885,0.9847
861,0.9885,0.9847
862,0.9885,0.9847
863,0.9885,0.9847
864,0.0123,0.0
865,0.9867,0.8337
866,0.9867,0.5856
867,0.9885,0.9847
868,0.9885,0.9847
869,0.9885,0.9847
870,0.9885,0.9847
871,0.9854,0.31
872,0.9885,0.9847
873,0.9885,0.9847
874,0.9885,0.9847
875,0.9885,0.9847
876,0.9884,0.9819
877,0.9885,0.9847
878,0.9885,0.9847
879,0.0197,0.0
880,0.0135,0.0
881,0.0123,0.0
882,0.9885,0.9847
883,0.9857,0.4887
884,0.9885,0.9847
885,0.9883,0.9751
886,0.9885,0.9847
887,0.9868,0.903
888,0.9885,0.9847
889,0.0123,0.0
890,0.0123,0.0
