X1+X2,P_NS(APR4_EPP),P_NS(BHF_BBB2),P_NS(H4),P_NS(HQC18),P_NS(KDE0V),P_NS(KDE0V1),P_NS(MPA1),P_NS(MS1_PP),P_NS(MS1B_PP),P_NS(RS),P_NS(SK255),P_NS(SK272),P_NS(SKI2),P_NS(SKI3),P_NS(SKI4),P_NS(SKI5),P_NS(SKI6),P_NS(SKMP),P_NS(SKOP),P_NS(SLy),P_NS(SLY2),P_NS(SLY9),P_NS(SLY230A)
0.480000,0.449244,0.340150,0.375636,0.399759,0.419395,0.398377,0.451715,0.432914,0.412103,0.394961,0.389168,0.434279,0.416636,0.441043,0.391046,0.473381,0.380403,0.401692,0.402772,0.419984,0.423947,0.399157,0.423017
0.500000,0.474274,0.360214,0.407371,0.417725,0.440579,0.421581,0.463991,0.450265,0.423834,0.412373,0.420788,0.454464,0.441538,0.468633,0.408809,0.495031,0.399198,0.419145,0.427610,0.445753,0.444815,0.416866,0.428596
0.520000,0.498438,0.384183,0.438706,0.437383,0.461985,0.446538,0.478022,0.468262,0.439985,0.431449,0.451142,0.475772,0.467286,0.497040,0.429640,0.515000,0.420072,0.436614,0.453273,0.471247,0.466605,0.436222,0.433639
0.540000,0.521753,0.412226,0.469557,0.459714,0.484709,0.473319,0.494961,0.488183,0.461443,0.453562,0.480916,0.498746,0.493805,0.525960,0.454620,0.534290,0.443820,0.455751,0.479520,0.496896,0.490438,0.457902,0.440531
0.560000,0.544459,0.444041,0.499900,0.485364,0.509424,0.501478,0.515504,0.511083,0.488460,0.479622,0.511226,0.523680,0.521084,0.554917,0.484203,0.553925,0.470958,0.477986,0.506069,0.523183,0.517126,0.482347,0.451410
0.580000,0.566988,0.478920,0.529759,0.514549,0.536268,0.530203,0.539797,0.537603,0.520615,0.509932,0.543252,0.550600,0.549223,0.583374,0.518077,0.574820,0.501593,0.504297,0.532684,0.550556,0.546980,0.509777,0.467978
0.600000,0.589830,0.515835,0.559186,0.546960,0.564801,0.558518,0.567361,0.567780,0.556820,0.544066,0.577792,0.579229,0.578382,0.610834,0.555112,0.597616,0.535299,0.534986,0.559197,0.579277,0.579643,0.540155,0.491298
0.620000,0.613347,0.553523,0.588242,0.581695,0.594051,0.585483,0.597105,0.600916,0.595401,0.580844,0.614840,0.608972,0.608623,0.636880,0.593458,0.622516,0.571051,0.569496,0.585454,0.609249,0.614046,0.573106,0.521553
0.640000,0.637572,0.590559,0.616979,0.617279,0.622662,0.610331,0.627430,0.635569,0.634296,0.618450,0.653344,0.638914,0.639714,0.661167,0.630832,0.649152,0.607280,0.606368,0.611213,0.639888,0.648514,0.607820,0.557816
0.660000,0.662073,0.625449,0.645427,0.651835,0.649119,0.632527,0.656466,0.669748,0.671345,0.654725,0.691286,0.667879,0.670970,0.683384,0.664932,0.676560,0.642082,0.643425,0.636044,0.670098,0.681056,0.643007,0.597978
0.680000,0.685948,0.656741,0.673576,0.683376,0.672003,0.651769,0.682362,0.701295,0.704619,0.687574,0.726141,0.694551,0.701235,0.703214,0.693847,0.703313,0.673544,0.678192,0.659291,0.698409,0.709758,0.677000,0.639006
0.700000,0.707977,0.683159,0.701373,0.710151,0.690214,0.667954,0.703583,0.728316,0.732674,0.715340,0.755525,0.717657,0.729051,0.720343,0.716310,0.727791,0.700093,0.708426,0.680131,0.723252,0.733125,0.707997,0.677561
0.720000,0.726897,0.703740,0.728710,0.730917,0.703124,0.681174,0.719096,0.749524,0.754673,0.737036,0.777702,0.736151,0.752960,0.734508,0.731771,0.748527,0.720737,0.732541,0.697732,0.743271,0.750275,0.734400,0.710761
0.740000,0.741709,0.717960,0.755431,0.745085,0.710689,0.691761,0.728481,0.764391,0.770395,0.752415,0.791771,0.749372,0.771829,0.745609,0.740370,0.764494,0.735194,0.749806,0.711467,0.757571,0.760992,0.755106,0.736739
0.760000,0.751953,0.725855,0.781342,0.752771,0.713567,0.700388,0.732012,0.773178,0.780202,0.761963,0.797584,0.757182,0.785077,0.753865,0.742947,0.775305,0.743942,0.760369,0.721162,0.765877,0.765734,0.769687,0.754823
0.780000,0.757938,0.728210,0.806216,0.754906,0.713306,0.708234,0.730823,0.777006,0.785077,0.766935,0.795704,0.760127,0.792823,0.760008,0.741191,0.781344,0.748319,0.765269,0.727349,0.768681,0.765725,0.778490,0.765464
0.800000,0.760995,0.726866,0.829820,0.753461,0.712560,0.717145,0.727175,0.778028,0.786796,0.769498,0.787660,0.759709,0.796051,0.765505,0.737904,0.783949,0.750685,0.766575,0.731536,0.767479,0.763175,0.782778,0.770189
0.820000,0.763728,0.725108,0.851930,0.751767,0.715206,0.729723,0.724742,0.779670,0.788185,0.772884,0.776574,0.758748,0.796873,0.772724,0.737201,0.785655,0.754576,0.767607,0.736452,0.765124,0.761515,0.784973,0.771755
0.840000,0.770125,0.727896,0.872353,0.754640,0.726096,0.749127,0.728618,0.786595,0.793249,0.781302,0.767827,0.761637,0.798836,0.784874,0.744310,0.790343,0.764535,0.772984,0.746071,0.766078,0.765356,0.788901,0.774366
0.860000,0.785113,0.741460,0.890946,0.767842,0.750079,0.778335,0.744613,0.803881,0.806722,0.799202,0.768961,0.774019,0.806860,0.805414,0.764538,0.802871,0.785238,0.788000,0.765091,0.776088,0.779747,0.799612,0.783533
0.880000,0.812993,0.771618,0.907624,0.796279,0.789918,0.818570,0.777361,0.834883,0.832505,0.829508,0.787812,0.801201,0.826149,0.836588,0.801032,0.827581,0.819501,0.816788,0.797356,0.800599,0.808376,0.822114,0.804869
0.900000,0.854450,0.820159,0.922365,0.840662,0.843173,0.867101,0.826934,0.877960,0.870798,0.870968,0.828183,0.844706,0.859408,0.877134,0.851481,0.865375,0.865385,0.859187,0.842996,0.841450,0.850738,0.858471,0.841249
0.920000,0.903379,0.880194,0.935209,0.893983,0.900192,0.916191,0.885349,0.924440,0.915378,0.916395,0.884018,0.898009,0.902997,0.920653,0.906082,0.910591,0.914498,0.907995,0.895491,0.892867,0.899827,0.904113,0.888935
0.940000,0.947802,0.936038,0.946249,0.942639,0.947715,0.956080,0.938020,0.962380,0.955060,0.955247,0.938406,0.946815,0.945950,0.957687,0.951431,0.951859,0.955347,0.950984,0.942776,0.941494,0.944032,0.947545,0.936482
0.960000,0.977793,0.973661,0.955620,0.975482,0.977844,0.981299,0.973381,0.985267,0.981263,0.980608,0.975260,0.978910,0.976729,0.981863,0.979794,0.979693,0.981170,0.979243,0.974978,0.975081,0.974459,0.977760,0.971450
0.980000,0.992629,0.991718,0.963483,0.991751,0.992372,0.993563,0.990935,0.995456,0.993929,0.993198,0.992532,0.993748,0.992414,0.993803,0.993195,0.993363,0.993567,0.993027,0.991324,0.991802,0.990458,0.992814,0.990068
1.000000,0.998067,0.997982,0.970013,0.997775,0.997820,0.998190,0.997505,0.998873,0.998455,0.998033,0.998268,0.998604,0.998118,0.998296,0.998100,0.998300,0.998182,0.998107,0.997581,0.997886,0.997020,0.998217,0.997300
