X1+X2,P_NS(APR4_EPP),P_NS(BHF_BBB2),P_NS(H4),P_NS(HQC18),P_NS(KDE0V),P_NS(KDE0V1),P_NS(MPA1),P_NS(MS1_PP),P_NS(MS1B_PP),P_NS(RS),P_NS(SK255),P_NS(SK272),P_NS(SKI2),P_NS(SKI3),P_NS(SKI4),P_NS(SKI5),P_NS(SKI6),P_NS(SKMP),P_NS(SKOP),P_NS(SLy),P_NS(SLY2),P_NS(SLY9),P_NS(SLY230A)
0.480000,0.053081,0.040955,0.001629,0.044015,0.038221,0.039576,0.009653,0.000034,0.000287,0.005382,0.005394,0.005347,0.003484,0.003654,0.009992,0.000916,0.008483,0.009020,0.019273,0.032519,0.033745,0.011435,0.030527
0.500000,0.056039,0.043371,0.001766,0.045993,0.040152,0.041881,0.009916,0.000035,0.000295,0.005620,0.005832,0.005595,0.003692,0.003883,0.010446,0.000958,0.008902,0.009412,0.020462,0.034514,0.035406,0.011943,0.030929
0.520000,0.058894,0.046257,0.001902,0.048158,0.042103,0.044360,0.010216,0.000036,0.000307,0.005880,0.006253,0.005857,0.003908,0.004118,0.010978,0.000997,0.009367,0.009804,0.021690,0.036488,0.037141,0.012497,0.031293
0.540000,0.061649,0.049633,0.002036,0.050617,0.044174,0.047020,0.010578,0.000038,0.000322,0.006181,0.006665,0.006140,0.004129,0.004358,0.011616,0.001034,0.009897,0.010234,0.022946,0.038474,0.039038,0.013118,0.031791
0.560000,0.064332,0.053464,0.002168,0.053441,0.046426,0.049818,0.011017,0.000040,0.000340,0.006536,0.007086,0.006447,0.004357,0.004597,0.012372,0.001072,0.010502,0.010733,0.024216,0.040510,0.041162,0.013819,0.032576
0.580000,0.066994,0.057663,0.002297,0.056654,0.048872,0.052671,0.011536,0.000042,0.000363,0.006949,0.007529,0.006779,0.004593,0.004833,0.013238,0.001113,0.011185,0.011324,0.025490,0.042629,0.043538,0.014605,0.033771
0.600000,0.069693,0.062108,0.002425,0.060223,0.051473,0.055484,0.012125,0.000044,0.000388,0.007414,0.008008,0.007131,0.004837,0.005061,0.014184,0.001157,0.011937,0.012013,0.026758,0.044853,0.046138,0.015475,0.035454
0.620000,0.072471,0.066646,0.002551,0.064047,0.054138,0.058163,0.012760,0.000047,0.000415,0.007915,0.008522,0.007497,0.005090,0.005277,0.015164,0.001205,0.012734,0.012788,0.028015,0.047174,0.048876,0.016419,0.037637
0.640000,0.075334,0.071105,0.002675,0.067965,0.056746,0.060631,0.013409,0.000049,0.000442,0.008428,0.009055,0.007866,0.005350,0.005478,0.016119,0.001257,0.013542,0.013616,0.029247,0.049546,0.051620,0.017413,0.040254
0.660000,0.078229,0.075306,0.002799,0.071770,0.059157,0.062836,0.014029,0.000052,0.000468,0.008922,0.009581,0.008222,0.005611,0.005662,0.016990,0.001310,0.014318,0.014448,0.030436,0.051885,0.054210,0.018421,0.043153
0.680000,0.081050,0.079073,0.002921,0.075243,0.061243,0.064748,0.014582,0.000054,0.000491,0.009370,0.010064,0.008551,0.005864,0.005826,0.017729,0.001361,0.015020,0.015228,0.031548,0.054077,0.056495,0.019395,0.046113
0.700000,0.083653,0.082254,0.003041,0.078191,0.062902,0.066356,0.015036,0.000056,0.000511,0.009748,0.010471,0.008835,0.006097,0.005968,0.018303,0.001409,0.015612,0.015907,0.032545,0.056001,0.058355,0.020283,0.048896
0.720000,0.085888,0.084732,0.003160,0.080477,0.064079,0.067669,0.015367,0.000058,0.000526,0.010044,0.010779,0.009063,0.006297,0.006085,0.018698,0.001449,0.016072,0.016449,0.033387,0.057551,0.059720,0.021040,0.051291
0.740000,0.087638,0.086444,0.003276,0.082037,0.064768,0.068721,0.015568,0.000059,0.000537,0.010254,0.010974,0.009226,0.006454,0.006177,0.018918,0.001480,0.016395,0.016837,0.034045,0.058658,0.060573,0.021633,0.053166
0.760000,0.088849,0.087395,0.003388,0.082883,0.065030,0.069578,0.015643,0.000060,0.000544,0.010384,0.011054,0.009322,0.006565,0.006246,0.018984,0.001501,0.016590,0.017074,0.034509,0.059301,0.060950,0.022051,0.054471
0.780000,0.089556,0.087678,0.003496,0.083119,0.065007,0.070357,0.015618,0.000060,0.000547,0.010451,0.011028,0.009358,0.006630,0.006297,0.018939,0.001512,0.016687,0.017184,0.034805,0.059518,0.060950,0.022303,0.055239
0.800000,0.089917,0.087517,0.003598,0.082959,0.064939,0.071243,0.015540,0.000060,0.000548,0.010486,0.010917,0.009353,0.006657,0.006342,0.018855,0.001518,0.016740,0.017213,0.035005,0.059425,0.060747,0.022426,0.055580
0.820000,0.090240,0.087305,0.003694,0.082773,0.065180,0.072492,0.015488,0.000060,0.000549,0.010533,0.010763,0.009341,0.006664,0.006402,0.018837,0.001521,0.016827,0.017236,0.035240,0.059243,0.060615,0.022489,0.055693
0.840000,0.090996,0.087641,0.003783,0.083089,0.066172,0.074420,0.015571,0.000061,0.000553,0.010647,0.010642,0.009377,0.006680,0.006503,0.019018,0.001530,0.017049,0.017357,0.035700,0.059317,0.060920,0.022601,0.055881
0.860000,0.092767,0.089274,0.003863,0.084543,0.068358,0.077321,0.015913,0.000062,0.000562,0.010891,0.010658,0.009529,0.006747,0.006673,0.019535,0.001554,0.017511,0.017694,0.036611,0.060092,0.062066,0.022908,0.056543
0.880000,0.096061,0.092905,0.003935,0.087674,0.071989,0.081318,0.016613,0.000065,0.000580,0.011304,0.010919,0.009864,0.006909,0.006931,0.020468,0.001602,0.018275,0.018341,0.038155,0.061990,0.064345,0.023553,0.058083
0.900000,0.100959,0.098749,0.003999,0.092561,0.076842,0.086139,0.017672,0.000068,0.000607,0.011869,0.011478,0.010399,0.007187,0.007267,0.021757,0.001675,0.019298,0.019293,0.040338,0.065153,0.067716,0.024594,0.060708
0.920000,0.106741,0.105978,0.004055,0.098432,0.082038,0.091016,0.018920,0.000072,0.000638,0.012488,0.012252,0.011056,0.007551,0.007628,0.023152,0.001763,0.020393,0.020389,0.042850,0.069134,0.071624,0.025902,0.064149
0.940000,0.111990,0.112701,0.004103,0.103789,0.086369,0.094979,0.020046,0.000075,0.000666,0.013018,0.013006,0.011656,0.007910,0.007934,0.024311,0.001843,0.021304,0.021354,0.045113,0.072899,0.075142,0.027146,0.067580
0.960000,0.115533,0.117231,0.004144,0.107405,0.089115,0.097484,0.020802,0.000076,0.000684,0.013363,0.013517,0.012052,0.008168,0.008135,0.025035,0.001896,0.021880,0.021988,0.046654,0.075500,0.077564,0.028012,0.070104
0.980000,0.117286,0.119406,0.004178,0.109196,0.090439,0.098702,0.021177,0.000077,0.000693,0.013535,0.013756,0.012234,0.008299,0.008234,0.025378,0.001923,0.022156,0.022298,0.047436,0.076795,0.078838,0.028443,0.071447
1.000000,0.117929,0.120160,0.004206,0.109860,0.090936,0.099162,0.021317,0.000077,0.000696,0.013601,0.013836,0.012294,0.008347,0.008271,0.025503,0.001932,0.022259,0.022412,0.047736,0.077266,0.079360,0.028598,0.071969
