X2,P_REM(APR4_EPP),P_REM(BHF_BBB2),P_REM(H4),P_REM(HQC18),P_REM(KDE0V),P_REM(KDE0V1),P_REM(MPA1),P_REM(MS1_PP),P_REM(MS1B_PP),P_REM(RS),P_REM(SK255),P_REM(SK272),P_REM(SKI2),P_REM(SKI3),P_REM(SKI4),P_REM(SKI5),P_REM(SKI6),P_REM(SKMP),P_REM(SKOP),P_REM(SLy),P_REM(SLY2),P_REM(SLY9),P_REM(SLY230A)
0.480000,0.135747,0.188424,0.172857,0.141414,0.219608,0.285714,0.179434,0.151210,0.064286,0.304087,0.306452,0.193878,0.254324,0.168582,0.177778,0.226027,0.229277,0.291631,0.126728,0.421546,0.224599,0.183333,0.153061
0.500000,0.451172,0.333333,0.230665,0.273438,0.190524,0.165000,0.223529,0.218865,0.231351,0.189655,0.181034,0.290625,0.207744,0.333333,0.279339,0.256604,0.218695,0.195402,0.268105,0.175275,0.244565,0.207692,0.223829
0.520000,0.280702,0.136364,0.288889,0.264706,0.310345,0.313544,0.266544,0.265152,0.240771,0.336957,0.148305,0.264550,0.176202,0.319008,0.246806,0.243952,0.271605,0.280992,0.179787,0.277186,0.304094,0.253750,0.245614
0.540000,0.216216,0.233564,0.252432,0.298793,0.367464,0.376623,0.399246,0.357971,0.288462,0.292929,0.310345,0.299556,0.287692,0.278592,0.307895,0.254497,0.193548,0.307759,0.277778,0.137931,0.284314,0.408575,0.303030
0.560000,0.426531,0.259259,0.308548,0.322222,0.208219,0.269542,0.323810,0.288557,0.261290,0.246377,0.283372,0.314516,0.235673,0.272967,0.377632,0.319149,0.301075,0.280781,0.280822,0.294643,0.332432,0.389177,0.312500
0.580000,0.576471,0.327144,0.378788,0.306397,0.315789,0.320667,0.373737,0.394615,0.388306,0.301339,0.316901,0.351389,0.466270,0.453704,0.339612,0.394203,0.342710,0.381092,0.327994,0.314634,0.319917,0.312941,0.206282
0.600000,0.337778,0.489394,0.333966,0.260401,0.270775,0.358852,0.387342,0.327731,0.371488,0.538885,0.391656,0.257534,0.344928,0.412617,0.356979,0.365025,0.315789,0.253968,0.398977,0.300752,0.293233,0.341333,0.289474
0.620000,0.438898,0.422222,0.399160,0.404101,0.426941,0.330827,0.382514,0.519863,0.421774,0.403317,0.429224,0.368239,0.288889,0.428705,0.475610,0.435372,0.325792,0.295139,0.349727,0.393593,0.411224,0.384985,0.371014
0.640000,0.342105,0.454241,0.590909,0.289760,0.468750,0.378655,0.485160,0.523460,0.527473,0.464286,0.392842,0.493421,0.367347,0.434211,0.447642,0.475624,0.518182,0.321393,0.396879,0.405639,0.381944,0.411642,0.467391
0.660000,0.623226,0.340909,0.412002,0.491228,0.500000,0.505011,0.444444,0.427230,0.459562,0.425000,0.412824,0.519608,0.418267,0.520124,0.397163,0.449778,0.510035,0.484347,0.378669,0.503953,0.463768,0.451899,0.499537
0.680000,0.603873,0.334928,0.504065,0.576332,0.447154,0.467033,0.388889,0.550000,0.419753,0.386776,0.483203,0.558408,0.427266,0.507353,0.534015,0.461538,0.470383,0.622863,0.431579,0.577731,0.494624,0.561315,0.380165
0.700000,0.527473,0.565217,0.467409,0.414706,0.508306,0.505871,0.489342,0.548148,0.603362,0.540715,0.602277,0.462963,0.616477,0.521447,0.525487,0.380952,0.463536,0.557692,0.590909,0.576556,0.462256,0.441304,0.633803
0.720000,0.543460,0.607558,0.448787,0.380952,0.465116,0.520724,0.588235,0.580494,0.584656,0.513385,0.502122,0.601504,0.536232,0.534181,0.468479,0.491400,0.511880,0.636574,0.546251,0.705966,0.559738,0.498438,0.457255
0.740000,0.499349,0.624625,0.658436,0.603800,0.643963,0.585455,0.768293,0.604162,0.672629,0.598929,0.438646,0.509167,0.606229,0.493463,0.543090,0.556861,0.649805,0.541176,0.658436,0.484848,0.588629,0.642215,0.536090
