X1+X2,P_NS(APR4_EPP),P_NS(BHF_BBB2),P_NS(H4),P_NS(HQC18),P_NS(KDE0V),P_NS(KDE0V1),P_NS(MPA1),P_NS(MS1_PP),P_NS(MS1B_PP),P_NS(RS),P_NS(SK255),P_NS(SK272),P_NS(SKI2),P_NS(SKI3),P_NS(SKI4),P_NS(SKI5),P_NS(SKI6),P_NS(SKMP),P_NS(SKOP),P_NS(SLy),P_NS(SLY2),P_NS(SLY9),P_NS(SLY230A)
0.480000,0.425371,0.368398,0.404364,0.396016,0.391152,0.386804,0.431756,0.427360,0.428706,0.383154,0.394466,0.421762,0.423998,0.434415,0.399343,0.442805,0.396076,0.380299,0.398270,0.411207,0.419479,0.402616,0.393277
0.500000,0.445281,0.387674,0.424000,0.415580,0.410670,0.406280,0.451688,0.447160,0.448622,0.406050,0.417541,0.443359,0.443777,0.454339,0.418936,0.462688,0.415640,0.402891,0.417854,0.430897,0.439228,0.422237,0.412816
0.520000,0.465366,0.407305,0.443877,0.435412,0.430473,0.426054,0.471777,0.467129,0.468701,0.429486,0.441112,0.465220,0.463735,0.474410,0.438787,0.482691,0.435472,0.426009,0.437699,0.450807,0.459172,0.442105,0.432631
0.540000,0.485626,0.427298,0.463999,0.455516,0.450563,0.446129,0.492022,0.487267,0.488945,0.453443,0.465158,0.487333,0.483875,0.494626,0.458899,0.502813,0.455576,0.449639,0.457809,0.470939,0.479310,0.462224,0.452728
0.560000,0.506061,0.447656,0.484369,0.475894,0.470943,0.466510,0.512425,0.507577,0.509354,0.477897,0.489654,0.509681,0.504196,0.514988,0.479275,0.523056,0.475954,0.473758,0.478185,0.491295,0.499646,0.482596,0.473108
0.580000,0.526672,0.468387,0.504987,0.496550,0.491618,0.487199,0.532983,0.528059,0.529927,0.502821,0.514570,0.532246,0.524701,0.535497,0.499916,0.543420,0.496610,0.498341,0.498832,0.511878,0.520179,0.503223,0.493774
0.600000,0.547457,0.489495,0.525857,0.517486,0.512590,0.508201,0.553698,0.548714,0.550665,0.528182,0.539871,0.555009,0.545390,0.556152,0.520827,0.563905,0.517546,0.523358,0.519751,0.532689,0.540913,0.524107,0.514731
0.620000,0.568418,0.510986,0.546981,0.538706,0.533863,0.529519,0.574569,0.569543,0.571567,0.553940,0.565516,0.577949,0.566265,0.576953,0.542010,0.584512,0.538765,0.548775,0.540945,0.553730,0.561848,0.545252,0.535981
0.640000,0.589554,0.532865,0.568361,0.560213,0.555440,0.551158,0.595595,0.590548,0.592633,0.580051,0.591458,0.601043,0.587327,0.597901,0.563466,0.605242,0.560271,0.574549,0.562418,0.575003,0.582987,0.566659,0.557527
0.660000,0.610866,0.555139,0.590001,0.582009,0.577324,0.573120,0.616777,0.611729,0.613865,0.606463,0.617644,0.624265,0.608578,0.618995,0.585201,0.626095,0.582066,0.600635,0.584172,0.596510,0.604330,0.588332,0.579373
0.680000,0.632353,0.577812,0.611902,0.604097,0.599520,0.595410,0.638113,0.633089,0.635260,0.633116,0.644012,0.647587,0.630019,0.640235,0.607215,0.647072,0.604153,0.626976,0.606211,0.618254,0.625878,0.610273,0.601523
0.700000,0.654015,0.600891,0.634067,0.626482,0.622031,0.618032,0.659604,0.654627,0.656821,0.659942,0.670495,0.670979,0.651651,0.661621,0.629513,0.668173,0.626536,0.653513,0.628537,0.640236,0.647635,0.632484,0.623979
0.720000,0.675852,0.624382,0.656499,0.649166,0.644860,0.640990,0.681249,0.676346,0.678546,0.686864,0.697015,0.694409,0.673475,0.683154,0.652097,0.689399,0.649218,0.680175,0.651153,0.662458,0.669601,0.654969,0.646745
0.740000,0.697865,0.648291,0.679199,0.672152,0.668011,0.664288,0.703047,0.698245,0.700436,0.713795,0.723484,0.717839,0.695493,0.704834,0.674970,0.710751,0.672203,0.706883,0.674062,0.684922,0.691777,0.677729,0.669824
0.760000,0.720053,0.672623,0.702172,0.695444,0.691488,0.687930,0.724998,0.720328,0.722490,0.740636,0.749806,0.741232,0.717707,0.726659,0.698134,0.732228,0.695492,0.733549,0.697268,0.707631,0.714166,0.700769,0.693220
0.780000,0.742416,0.697386,0.725418,0.719045,0.715295,0.711920,0.747100,0.742594,0.744710,0.767278,0.775872,0.764546,0.740117,0.748632,0.721594,0.753832,0.719090,0.760073,0.720773,0.730587,0.736769,0.724090,0.716936
0.800000,0.764956,0.722584,0.748942,0.742957,0.739434,0.736262,0.769354,0.765045,0.767094,0.793597,0.801561,0.787735,0.762725,0.770750,0.745352,0.775563,0.743000,0.786343,0.744581,0.753791,0.759588,0.747695,0.740977
0.820000,0.787670,0.748226,0.772745,0.767185,0.763910,0.760960,0.791759,0.787683,0.789642,0.819456,0.826739,0.810751,0.785532,0.793015,0.769410,0.797422,0.767225,0.812237,0.768694,0.777247,0.782624,0.771587,0.765344
0.840000,0.810560,0.774316,0.796830,0.791732,0.788727,0.786019,0.814313,0.810508,0.812356,0.844703,0.851257,0.833541,0.808540,0.815427,0.793773,0.819410,0.791769,0.837616,0.793116,0.800955,0.805879,0.795769,0.790043
0.860000,0.833625,0.800862,0.821200,0.816601,0.813889,0.811443,0.837015,0.833521,0.835234,0.869168,0.874952,0.856049,0.831750,0.837985,0.818443,0.841526,0.816634,0.862328,0.817850,0.824919,0.829354,0.820243,0.815077
0.880000,0.856866,0.827869,0.845858,0.841796,0.839399,0.837236,0.859865,0.856724,0.858277,0.892663,0.897642,0.878214,0.855164,0.860690,0.843423,0.863772,0.841825,0.886204,0.842899,0.849140,0.853052,0.845013,0.840449
0.900000,0.880283,0.855346,0.870806,0.867320,0.865261,0.863403,0.882862,0.880118,0.881486,0.914980,0.919127,0.899970,0.878783,0.883542,0.868717,0.886148,0.867345,0.909057,0.868267,0.873621,0.876974,0.870081,0.866163
0.920000,0.903875,0.883298,0.896048,0.893177,0.891480,0.889948,0.906004,0.903705,0.904859,0.935890,0.939188,0.921249,0.902608,0.906540,0.894327,0.908654,0.893197,0.930681,0.893957,0.898364,0.901121,0.895450,0.892223
0.940000,0.927643,0.911732,0.921585,0.919369,0.918059,0.916876,0.929290,0.927485,0.928396,0.955139,0.957583,0.941974,0.926640,0.929685,0.920257,0.931292,0.919385,0.950849,0.919972,0.923371,0.925495,0.921124,0.918633
0.960000,0.951586,0.940656,0.947421,0.945902,0.945003,0.944191,0.952719,0.951460,0.952099,0.972450,0.974048,0.962066,0.950882,0.952977,0.946511,0.954062,0.945913,0.969312,0.946315,0.948644,0.950099,0.947105,0.945397
0.980000,0.975705,0.970076,0.973558,0.972777,0.972315,0.971897,0.976290,0.975631,0.975967,0.987516,0.988293,0.981439,0.975335,0.976415,0.973090,0.976965,0.972783,0.985796,0.972990,0.974187,0.974933,0.973396,0.972518
1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
